,state,lat,lng,population,location,county
2179,Louisiana,31.9442,-92.6369,13665,"(31.9442, -92.6369)",Winn Parish
2180,Texas,31.948,-98.5582,13651,"(31.948, -98.5582)",Comanche County
2181,Kentucky,37.5216,-83.3241,13580,"(37.5216, -83.3241)",Breathitt County
2182,Washington,48.5323,-117.274,13570,"(48.5323, -117.274)",Pend Oreille County
2183,Texas,30.9655,-95.9284,13556,"(30.9655, -95.9284)",Madison County
2184,Tennessee,35.3884,-85.7226,13550,"(35.3884, -85.7226)",Grundy County
2185,Virginia,36.6827,-79.8636,13539,"(36.6827, -79.8636)",City of Martinsville
2186,Idaho,44.2288,-111.4819,13519,"(44.2288, -111.4819)",Fremont County
2187,Colorado,37.1935,-107.0483,13509,"(37.1935, -107.0483)",Archuleta County
2188,Kentucky,37.6584,-87.9454,13495,"(37.6584, -87.9454)",Union County
2189,Florida,30.4964,-82.9479,13492,"(30.4964, -82.9479)",Hamilton County
2190,Illinois,40.5972,-88.2233,13484,"(40.5972, -88.2233)",Livingston County
2191,Oklahoma,35.0484,-96.2502,13409,"(35.0484, -96.2502)",Hughes County
2192,Ohio,39.7274,-81.0829,13401,"(39.7274, -81.0829)",Monroe County
2193,Idaho,47.3529,-115.8924,13399,"(47.3529, -115.8924)",Shoshone County
